順位,カテゴリ,項目,スコア
37,職場,Ｑ４２．職場では、新しい工夫やチャレンジが行われている,3.32
37,上司,Ｑ５６．直属の管理職は、部下の評価結果に至る背景や理由などを十分に説明している　※２,3.32
37,エンゲージメント,Ｑ９１．あなたは、会社Aで働いていることについて誇りを持っている,3.32
41,仕事,Ｑ１５．自分の仕事やキャリアに関して相談できる人が会社A内にいる　※１,3.26
41,業務負荷・ＷＬＢ,Ｑ２３．あなたは、心身に不調をきたすことなく働けている,3.26
41,職場,Ｑ２４．職場では、基本理念・行動指針を意識して業務が遂行されている,3.26
41,職場,Ｑ２９．職場では、個人で仕事を抱え込まず、チームで仕事を進めている,3.26
41,上司,Ｑ５５．直属の管理職は、部下の仕事の状況や成果をよくみて評価している　※２,3.26
41,人事制度,Ｑ６４．会社Aの人事制度（任用、評価、研修、給与、福利厚生、各種相談窓口）は、あなたの成長と意欲の向上に役立っている　※２,3.26
41,機構,Ｑ７７．あなたは、経営層を信頼している　※２,3.26
41,エンゲージメント,Ｑ９０．あなたは、会社Aでやりたいこと（夢・目標・志など）を持っている　※２,3.26
49,職場,Ｑ３８．職場では、立案したことは計画倒れにせず、強いこだわりを持って完遂している,3.21
49,上司,Ｑ４５．直属の管理職は、職場の目標達成のための課題を明確にしている　※２,3.21
49,機構,Ｑ６９．あなたに経営層の考えていることがきちんと伝わってくる　※２,3.21
49,機構,Ｑ７１．あなたは、会社Aの将来について明るい見通しを持っている　※２,3.21
53,仕事,Ｑ４．あなたは、自分の目標・役割に納得している　※２,3.16
53,人事制度,Ｑ６３．会社Aの研修はあなたの能力向上に役立っている　※１,3.16
53,エンゲージメント,Ｑ８８．あなたは、会社Aのサービスに愛着がある,3.16
56,職場,Ｑ２８．職場では、誰かが仕事で困っていれば見逃すことなく、サポートしたり声をかけたりしている,3.11
56,所管官庁等,Ｑ６６．会社Aと所管官庁は、必要な情報交換が行われ、共有されている　※２,3.11
58,上司,Ｑ４９．直属の管理職は、部下の仕事の状況（内容や負荷）をよく知っている　※２,3.05
58,機構,Ｑ７３．会社Aは時流や環境の変化を踏まえ、中小企業のニーズをくみ取って質の高い仕事ができている,3.05
60,職場,Ｑ３９．職場では、仕事が終わった後に必ず振り返りを行って、次の仕事に活かしている,3.0
60,上司,Ｑ５２．直属の管理職は、部下の今後のキャリアに関心を持ちアドバイス等をくれる　※１,3.0
62,職場,Ｑ３２．職場では、役職・年齢・性別などを気にせず、仕事上言いたいことを何でも言える,2.95
63,仕事,Ｑ８．あなたの仕事は、お客さま（会社A内顧客を含む）のためになっていると実感する　※２,2.89
63,職場,Ｑ４１．職場では、お客さま（会社A内顧客を含む）の声が業務の改善に反映されている,2.89
63,機構,Ｑ７０．会社Aでは、第一線（現場）の情報が経営層に伝わっている　※２,2.89
66,仕事,Ｑ１３．あなたは、会社Aにおける自分自身のキャリア目標（将来のありたい姿）を描いている　※１,2.84
66,仕事,Ｑ１８．今の仕事にやりがいを感じている　※２,2.84
66,職場,Ｑ３５．職場では、職場の歴史・経緯、仕事に関する技術・知識が蓄積、共有・活用されている,2.84
66,人事制度,Ｑ６１．会社Aでは、人事異動において本人の育成が考慮されている　※１,2.84
66,所管官庁等,Ｑ６７．会社Aと所管官庁との間で、業務上の課題や改善点について意見交換ができる環境が整っている　※２,2.84
71,仕事,Ｑ７．あなたは、仕事を通じて、会社Aの成長・発展への貢献を実感できる　※２,2.79
71,職場,Ｑ２５．職場には、会社Aの中長期的な方向性とそのための基本的な方針がきちんと伝えられ、共有されている　※２,2.79
71,職場,Ｑ２７．職場では、一体感が感じられる,2.79
74,職場,Ｑ３６．職場メンバーは、互いの成長のために刺激しあっている,2.68
75,職場,Ｑ２６．職場の組織目標達成に、みんなが関心を持っている　※２,2.63
75,人事制度,Ｑ６０．会社Aでは、優秀な人材にふさわしい地位や役職が与えられている　※２,2.63
77,職場,Ｑ４０．職場では、言い出した人が損をするような傾向はない,2.53
78,仕事,Ｑ１４．会社Aには、あなたが考えるキャリアのロールモデルがいる　※１,2.16
