順位,カテゴリ,項目,スコア
25,エンゲージメント,Ｑ８８．あなたは、会社Aのサービスに愛着がある,3.16
28,職場,Ｑ３８．職場では、立案したことは計画倒れにせず、強いこだわりを持って完遂している,3.21
28,上司,Ｑ４５．直属の管理職は、職場の目標達成のための課題を明確にしている　※２,3.21
28,機構,Ｑ６９．あなたに経営層の考えていることがきちんと伝わってくる　※２,3.21
28,機構,Ｑ７１．あなたは、会社Aの将来について明るい見通しを持っている　※２,3.21
32,仕事,Ｑ１５．自分の仕事やキャリアに関して相談できる人が会社A内にいる　※１,3.26
32,業務負荷・ＷＬＢ,Ｑ２３．あなたは、心身に不調をきたすことなく働けている,3.26
32,職場,Ｑ２４．職場では、基本理念・行動指針を意識して業務が遂行されている,3.26
32,職場,Ｑ２９．職場では、個人で仕事を抱え込まず、チームで仕事を進めている,3.26
32,上司,Ｑ５５．直属の管理職は、部下の仕事の状況や成果をよくみて評価している　※２,3.26
32,人事制度,Ｑ６４．会社Aの人事制度（任用、評価、研修、給与、福利厚生、各種相談窓口）は、あなたの成長と意欲の向上に役立っている　※２,3.26
32,機構,Ｑ７７．あなたは、経営層を信頼している　※２,3.26
32,エンゲージメント,Ｑ９０．あなたは、会社Aでやりたいこと（夢・目標・志など）を持っている　※２,3.26
40,職場,Ｑ３０．職場では、メンバー同士が気さくに声をかけたり談笑したり、明るい雰囲気がある,3.32
40,職場,Ｑ４２．職場では、新しい工夫やチャレンジが行われている,3.32
40,上司,Ｑ５６．直属の管理職は、部下の評価結果に至る背景や理由などを十分に説明している　※２,3.32
40,エンゲージメント,Ｑ９１．あなたは、会社Aで働いていることについて誇りを持っている,3.32
44,仕事,Ｑ５．あなたの目標・役割は、挑戦しがいがある　※２,3.37
44,仕事,Ｑ１１．仕事を進める上で、必要以上に報告を求められることはない　※２,3.37
44,上司,Ｑ４７．直属の管理職は、率先して新しいことや困難な課題に挑戦している　※２,3.37
44,上司,Ｑ５１．直属の管理職は、部下の能力向上のために積極的な指導・助言をしている　※１,3.37
44,上司,Ｑ５３．直属の管理職は、部下の仕事に関する意見をよく聞いてくれる　※２,3.37
49,仕事,Ｑ６．あなたの専門性や職務遂行能力は、今の仕事を通じて高まっている　※１,3.42
49,仕事,Ｑ９．あなたが仕事で良い結果を出した時は、上司・同僚から褒められる　※２,3.42
49,業務負荷・ＷＬＢ,Ｑ２２．あなたは、仕事と生活のバランスが取れていると思う,3.42
49,上司,Ｑ４６．直属の管理職は、的確な判断や意思決定を適宜適切に行っている　※２,3.42
49,エンゲージメント,Ｑ８９．あなたは、会社Aへの愛着がある,3.42
49,コンプライアンス,Ｑ８０．職場では、職場メンバー間で、コンプライアンスに関する問題意識やリスクを共有できている,3.42
55,業務負荷・ＷＬＢ,Ｑ２０．あなたにとって仕事による精神的な疲れは許容できる範囲である,3.47
55,職場,Ｑ３４．職場では、必要な情報交換が行われ、共有されている,3.47
55,職場,Ｑ４３．職場では、他の職場との連携が活発に行われている　※２,3.47
58,職場,Ｑ３１．職場では、感謝の気持ちを伝えあっている,3.53
58,職場,Ｑ３３．職場では、いろいろな考え方や多様な価値観を尊重する雰囲気がある,3.53
58,上司,Ｑ５７．あなたは、直属の管理職を信頼している　※２,3.53
58,人事制度,Ｑ５９．あなたは、自分に対する評価には納得している　※２,3.53
62,職場,Ｑ３７．職場では、仕事上の問題点やアイデアを出す機会が多い,3.58
62,機構,Ｑ７６．会社Aは、機構で働く者を大切にしようとする風土がある,3.58
64,仕事,Ｑ１０．あなたは、仕事を進める上で必要な権限を与えられている　※２,3.63
64,仕事,Ｑ１２．あなたは、仕事を進める上で、新しいテーマや内容にチャレンジしている　※２,3.63
64,業務負荷・ＷＬＢ,Ｑ２１．職場では、所定の勤務時間を十分意識して業務が進められている,3.63
64,上司,Ｑ４８．直属の管理職は、言行一致を心がけ、責任感のある言動をとっている　※２,3.63
64,機構,Ｑ７２．あなたは時流や環境変化、また、それに伴う中小企業の課題や支援ニーズの変化に応じた会社Aの変革を実感している,3.63
64,コンプライアンス,Ｑ８６．職場では、会社Aが行った支援や職員等の対応に関するお客様からのご不満・ご要望に対して再発防止策などの対応がとられている,3.63
70,仕事,Ｑ３．あなたは、基本理念・行動指針を意識して行動している　※２,3.68
70,職場,Ｑ４４．あなたは、職場メンバーを信頼している,3.68
72,業務負荷・ＷＬＢ,Ｑ１９．あなたの仕事量は、自分の処理能力の範囲内である,3.74
72,上司,Ｑ５４．直属の管理職には、悪い情報でも相談・報告しやすい　※２,3.74
72,所管官庁等,Ｑ６８．あなたは、本部が都心にあることが会社Aの業務に良い影響を与えていると思う　※１,3.74
72,コンプライアンス,Ｑ８１．職場では、悪い情報でも、隠さずに速やかに報告されている,3.74
76,人事制度,Ｑ５８．あなたは、評価基準や評価のプロセス・手順を理解している　※２,3.79
76,コンプライアンス,Ｑ８３．職場では、コンプライアンス違反と思われる事案に関して、見て見ぬふりをすることはない,3.79
76,コンプライアンス,Ｑ８４．会社Aでは、コンプライアンス通報窓口の設置や研修など、コンプライアンス体制が十分整っていると感じる,3.79
76,コンプライアンス,Ｑ８７．職場では法令・規程等を遵守し、会社Aの基本理念・行動指針・コンプライアンス宣言を十分理解したうえで仕事が進められている,3.79
80,仕事,Ｑ２．あなたは、基本理念・行動指針に共感している,3.84
80,コンプライアンス,Ｑ８５．職場で慣習的に行われている業務について、コンプライアンス上の問題を感じることはない,3.84
82,機構,Ｑ７５．会社Aは、事業活動を通じて社会に貢献している,3.89
83,仕事,Ｑ１．あなたは、基本理念・行動指針を理解している,3.95
83,上司,Ｑ５０．直属の管理職は、すべての部下に対して公平な態度で接している　※２,3.95
85,人事制度,Ｑ６２．会社Aは、出産・育児、介護等をする上で働きやすい制度や環境が整っている　※２,4.0
85,機構,Ｑ７４．あなたは会社AにおいてDX推進や業務効率化の実現に向けて新しい取組みがはじまったと感じている,4.0
85,コンプライアンス,Ｑ８２．職場では、役員・上司や所管官庁の意向であっても、法令・規程等を逸脱した行為をすることはない,4.0
88,コンプライアンス,Ｑ７９．職場では、この１年間カスタマーハラスメントによる不快な行為はない,4.05
