カテゴリ,項目,当組織今回,当組織前回,職員全体,当機構全体,経年ギャップ,貴組織-全体
上司,Ｑ５２．直属の管理職は、部下の今後のキャリアに関心を持ちアドバイス等をくれる　※１,3.0,3.8,3.26,3.26,-0.8,-0.26
上司,Ｑ５３．直属の管理職は、部下の仕事に関する意見をよく聞いてくれる　※２,3.37,3.6,3.88,3.89,-0.23,-0.51
上司,Ｑ５４．直属の管理職には、悪い情報でも相談・報告しやすい　※２,3.74,3.27,4.01,4.0,0.47,-0.27
上司,Ｑ５５．直属の管理職は、部下の仕事の状況や成果をよくみて評価している　※２,3.26,3.53,3.68,3.68,-0.27,-0.42
上司,Ｑ５６．直属の管理職は、部下の評価結果に至る背景や理由などを十分に説明している　※２,3.32,3.47,3.59,3.58,-0.15,-0.27
上司,Ｑ５７．あなたは、直属の管理職を信頼している　※２,3.53,3.67,3.87,3.93,-0.14,-0.34
人事制度,Ｑ５８．あなたは、評価基準や評価のプロセス・手順を理解している　※２,3.79,3.6,3.75,3.48,0.19,0.04
人事制度,Ｑ５９．あなたは、自分に対する評価には納得している　※２,3.53,3.73,3.64,3.56,-0.2,-0.11
人事制度,Ｑ６０．中小機構では、優秀な人材にふさわしい地位や役職が与えられている　※２,,,,,,
人事制度,Ｑ６１．中小機構では、人事異動において本人の育成が考慮されている　※１,,,,,,
人事制度,Ｑ６２．中小機構は、出産・育児、介護等をする上で働きやすい制度や環境が整っている　※２,,,,,,
人事制度,Ｑ６３．中小機構の研修はあなたの能力向上に役立っている　※１,,,,,,
人事制度,Ｑ６４．中小機構の人事制度（任用、評価、研修、給与、福利厚生、各種相談窓口）は、あなたの成長と意欲の向上に役立っている　※２,,,,,,
所管官庁等,Ｑ６６．中小機構と所管官庁は、必要な情報交換が行われ、共有されている　※２,,,,,,
所管官庁等,Ｑ６７．中小機構と所管官庁との間で、業務上の課題や改善点について意見交換ができる環境が整っている　※２,,,,,,
所管官庁等,Ｑ６８．あなたは、本部が都心にあることが中小機構の業務に良い影響を与えていると思う　※１,,,,,,
機構,Ｑ６９．あなたに経営層の考えていることがきちんと伝わってくる　※２,3.21,3.27,3.11,3.2,-0.06,0.1
機構,Ｑ７０．中小機構では、第一線（現場）の情報が経営層に伝わっている　※２,,,,,,
機構,Ｑ７１．あなたは、中小機構の将来について明るい見通しを持っている　※２,,,,,,
機構,Ｑ７２．あなたは時流や環境変化、また、それに伴う中小企業の課題や支援ニーズの変化に応じた中小機構の変革を実感している,,,,,,
機構,Ｑ７３．中小機構は時流や環境の変化を踏まえ、中小企業のニーズをくみ取って質の高い仕事ができている,,,,,,
機構,Ｑ７４．あなたは中小機構においてDX推進や業務効率化の実現に向けて新しい取組みがはじまったと感じている,,,,,,
機構,Ｑ７５．中小機構は、事業活動を通じて社会に貢献している,,,,,,
機構,Ｑ７６．中小機構は、機構で働く者を大切にしようとする風土がある,,,,,,
機構,Ｑ７７．あなたは、経営層を信頼している　※２,3.26,3.47,3.15,3.33,-0.21,0.11
エンゲージメント,Ｑ８８．あなたは、中小機構のサービスに愛着がある,,,,,,
エンゲージメント,Ｑ８９．あなたは、中小機構への愛着がある,,,,,,
エンゲージメント,Ｑ９０．あなたは、中小機構でやりたいこと（夢・目標・志など）を持っている　※２,,,,,,
エンゲージメント,Ｑ９１．あなたは、中小機構で働いていることについて誇りを持っている,,,,,,
コンプライアンス,Ｑ７８．職場では、この１年間職場内のハラスメント（セクシュアルハラスメント・パワーハラスメント・マタニティハラスメント等）による不快な行為はない,2.95,4.0,3.84,3.91,-1.05,-0.89
コンプライアンス,Ｑ７９．職場では、この１年間カスタマーハラスメントによる不快な行為はない,4.05,4.0,3.89,3.95,0.05,0.16
コンプライアンス,Ｑ８０．職場では、職場メンバー間で、コンプライアンスに関する問題意識やリスクを共有できている,3.42,4.13,4.0,3.95,-0.71,-0.58
コンプライアンス,Ｑ８１．職場では、悪い情報でも、隠さずに速やかに報告されている,3.74,4.2,4.09,3.97,-0.46,-0.35
コンプライアンス,Ｑ８２．職場では、役員・上司や所管官庁の意向であっても、法令・規程等を逸脱した行為をすることはない,4.0,4.2,4.2,4.24,-0.2,-0.2
コンプライアンス,Ｑ８３．職場では、コンプライアンス違反と思われる事案に関して、見て見ぬふりをすることはない,3.79,4.4,4.11,4.11,-0.61,-0.32
コンプライアンス,Ｑ８４．中小機構では、コンプライアンス通報窓口の設置や研修など、コンプライアンス体制が十分整っていると感じる,,,,,,
コンプライアンス,Ｑ８５．職場で慣習的に行われている業務について、コンプライアンス上の問題を感じることはない,3.84,4.13,3.94,3.96,-0.29,-0.1
コンプライアンス,Ｑ８６．職場では、中小機構が行った支援や職員等の対応に関するお客様からのご不満・ご要望に対して再発防止策などの対応がとられている,,,,,,
コンプライアンス,Ｑ８７．職場では法令・規程等を遵守し、中小機構の基本理念・行動指針・コンプライアンス宣言を十分理解したうえで仕事が進められている,,,,,,
